_id,id,device_id,record_oid,count_start_date,count_end_date,average_daily_car_traffic,neighborhood_size ,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
123,300989656,147,1324522674,10/21/19,10/29/19,2436,0.31,3,StatTrak,25,,30,85,34,37,-7997742,4040932501,St. Clair,3,16,42003561700,3,16,3,4/8/24
124,301291530,181,98475052,9/9/19,9/17/19,6943,0.905,11,StatTrak,35,,33,26,37,40,-8001776679,4047042636,Perry South,6,26,42003261500,1,26,1,1/12/24
125,314332417,67,1277351795,2/5/19,2/14/19,1363,,,StatTrak,25,,17,9,23,28,-7997778916,404365681,Bluff,6,1,42003010300,3,1,2,2/1/24
126,325834347,40,1847569204,8/10/18,8/17/18,338,0.606,,StatTrak,25,45,23,,28,30,-8003719351,4043872645,Elliott,2,20,42003562600,5,20,6,1/17/24
127,335439540,135,2108033802,7/18/19,7/26/19,4354,,3,StatTrak,25,,25,41,29,33,-799235397,4045919972,Shadyside,8,7,42003070800,2,7,4,3/11/24
128,340863639,94,690167521,12/15/20,12/23/20,1468,1.673,5,StatTrak,25,56,,24,28,31,-7998843731,4039126208,Carrick,4,29,42003290400,3,29,3,4/23/24
129,345918218,195,,,,,,,,,,,,,,-7997741025,4040932007,St. Clair,3,16,42003561700,3,16,3,4/8/24
130,348266598,183,793526528,9/9/19,9/17/19,3302,,13,StatTrak,25,,35,97,40,43,-8001384775,4048801855,Perry North,1,26,42003260200,1,26,1,1/15/24
131,358321678,21,236359592,9/21/18,10/17/18,,,,,,,,,,,-8000995024,4044562784,North Shore,1,22,42003981200,6,22,1,1/7/24
132,364823086,6,109955947,10/17/18,11/8/18,,,,Tube,,,,,,,-799519779,4044357372,North Oakland,8,4,42003982200,3,4,4,2/8/24
133,370215367,178,305312914,8/30/19,9/9/19,483,,13,StatTrak,25,,26,51,33,37,-7992909548,4047153004,East Liberty,7,11,42003111300,2,11,5,3/8/24
134,37342806,141,,,,,,,,,,,,,,-79977251,4045822535,Strip District,7,6,42003020300,6,6,2,2/25/24
135,382839437,59,334434337,5/1/19,5/7/19,3827,,,StatTrak,25,,28,69,33,37,-7991227235,4046057165,Larimer,9,12,42003120800,2,12,5,3/12/24
136,41516750,161,,,,,,,,,,,,,,-79945821,40447503,Shadyside,8,7,42003070900,2,7,4,2/9/24
137,424435594,123,944115427,5/20/19,,,,,Intersection Study,,,,,,,-7997623766,4045752252,Strip District,7,6,42003020300,6,6,2,3/2/24
138,428229895,25,845788920,11/8/18,11/14/18,382,,,StatTrak,25,43,16,0,20,24,-79960275,4043979142,Central Oakland,6,4,42003040500,3,4,4,2/14/24
139,435095238,102,,,,,,,,,,,,,,-7992710128,4042447666,Greenfield,5,15,42003151700,3,15,4,2/15/24
140,454488789,199,632149062,11/4/19,11/13/19,9600,0.692,4,StatTrak,35,,33,32,38,41,-8005070591,4043335152,Westwood,2,28,42003563100,5,28,6,1/18/24
141,462461649,78,374364494,3/22/19,3/29/19,2386,0.21,4,StatTrak,25,,27,65,32,36,-8000926886,4045110551,Allegheny Center,1,22,42003562700,1,22,1,1/7/24
142,495567113,105,1458021409,6/13/19,6/20/19,1270,,,StatTrak,25,,21,15,25,,-7993721678,4045957376,Bloomfield,7,8,42003080600,2,8,5,3/23/24
143,503144889,174,12984207,8/9/19,8/19/19,3427,,1,StatTrak,25,,35,97,40,43,-8004435805,4044894144,Elliott,2,20,42003562600,5,20,6,1/17/24
144,511073981,207,871644629,11/14/19,12/4/19,155,,6,StatTrak,25,,21,21,27,31,-7991919042,4047070028,Highland Park,7,11,42003110600,2,11,5,3/9/24
145,534535231,4,457410812,10/17/18,10/29/18,7619,,,StatTrak,25,71,32,94,34,36,-800140905,4042962,Mount Washington,2,19,42003191400,5,19,3,4/1/24
146,552155483,79,1302989701,3/22/19,4/29/19,1924,0.236,5,StatTrak,25,,24,38,29,32,-7999704872,4045771003,East Allegheny,1,23,42003563200,1,23,1,1/5/24
147,558341587,56,1046267212,1/14/19,1/22/19,936,,16,StatTrak,25,,22,24,27,32,-7996103086,4047503836,Central Lawrenceville,7,9,42003090100,2,9,2,3/3/24
148,559773473,41,726411339,11/20/17,,,,,Intersection Study,,,,,,,-799528885,404636283,Bloomfield,7,9,42003090300,2,9,5,3/6/24
149,562963377,177,995469639,8/30/19,10/9/19,541,,11,StatTrak,25,,24,38,29,33,-7991768838,4043915109,Squirrel Hill North,5,14,42003140300,3,14,4,2/18/24
150,563226335,2,70105834,9/24/19,10/8/19,867,,5,StatTrak,25,,19,8,24,27,-79947801,40464072,Bloomfield,7,8,42003080900,2,8,5,3/6/24
151,583558220,213,1610564825,6/11/19,6/11/19,,,Tuesday SPC video data,,,,,,,,-7995684514,4042929208,South Oakland,3,4,42003980800,3,4,4,2/12/24
152,589731012,198,211963031,11/4/19,11/13/19,5800,,5,StatTrak,35,,40,87,45,48,-8004611129,4043825783,Westwood,2,28,42003562600,5,28,6,1/17/24
153,594098653,187,1074954009,9/24/19,10/8/19,719,,3,StatTrak,25,,21,11,25,27,-7992598252,4042405251,Squirrel Hill South,5,14,42003141400,3,14,4,2/15/24
